epoch,step,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
9,129,0.17878840863704681,,2.199068307876587,,2.020280122756958,,,,
10,139,,0.13041117787361145,,1.367895245552063,,1.237484097480774,,,
10,142,,,,,,,0.1759001910686493,2.7292773723602295,2.553377151489258
10,142,0.17980866134166718,,1.622908592224121,,1.443100094795227,,,,
11,149,,0.11573812365531921,,2.4811441898345947,,2.365406036376953,,,
11,155,,,,,,,0.1748582124710083,2.4217069149017334,2.2468485832214355
11,155,0.18153131008148193,,1.9696584939956665,,1.7881271839141846,,,,
12,159,,0.10217773169279099,,0.7494137287139893,,0.6472359895706177,,,
12,168,,,,,,,0.17607112228870392,2.55606746673584,2.3799962997436523
12,168,0.19010703265666962,,1.4574412107467651,,1.2673341035842896,,,,
13,169,,0.1854320466518402,,1.8414338827133179,,1.6560018062591553,,,
13,179,,0.10750763863325119,,2.3495473861694336,,2.242039680480957,,,
13,181,,,,,,,0.17360132932662964,3.141737937927246,2.9681365489959717
13,181,0.17497654259204865,,1.6929031610488892,,1.5179264545440674,,,,
14,189,,0.13172434270381927,,0.8100767731666565,,0.678352415561676,,,
14,194,,,,,,,0.24501535296440125,2.8340511322021484,2.5890355110168457
14,194,0.17259088158607483,,1.562586784362793,,1.38999605178833,,,,
15,199,,0.3554457426071167,,1.3554272651672363,,0.9999815225601196,,,
15,207,,,,,,,0.2173624038696289,3.0364696979522705,2.8191070556640625
15,207,0.21813355386257172,,1.5447614192962646,,1.3266277313232422,,,,
16,209,,0.09185212105512619,,1.1014326810836792,,1.0095806121826172,,,
16,219,,0.1888924092054367,,1.7164946794509888,,1.5276023149490356,,,
16,220,,,,,,,0.2253657430410385,4.037781238555908,3.812415599822998
16,220,0.19746480882167816,,1.4665793180465698,,1.2691144943237305,,,,
17,229,,0.20059479773044586,,1.5574747323989868,,1.3568799495697021,,,
17,233,,,,,,,0.18410992622375488,2.7643749713897705,2.5802650451660156
17,233,0.1722155660390854,,1.9602892398834229,,1.7880736589431763,,,,
18,239,,0.1774626225233078,,1.5605900287628174,,1.3831274509429932,,,
18,246,,,,,,,0.18018321692943573,3.1744818687438965,2.9942984580993652
18,246,0.1828499287366867,,1.5607622861862183,,1.3779122829437256,,,,
19,249,,0.13929861783981323,,0.9792376160621643,,0.8399389982223511,,,
19,259,,0.19092725217342377,,4.18601131439209,,3.995084285736084,,,
19,259,,,,,,,0.1780906766653061,3.050194263458252,2.872103691101074
19,259,0.16244538128376007,,1.2222952842712402,,1.0598499774932861,,,,
20,269,,0.1360175609588623,,0.15418599545955658,,0.018168438225984573,,,
20,272,,,,,,,0.18839961290359497,3.4650113582611084,3.2766120433807373
20,272,0.16734179854393005,,1.547423243522644,,1.3800815343856812,,,,
21,279,,0.2639037072658539,,0.5803811550140381,,0.3164774179458618,,,
21,285,,,,,,,0.1814849078655243,3.3639156818389893,3.1824307441711426
21,285,0.16697098314762115,,1.1777758598327637,,1.0108050107955933,,,,
22,289,,0.12462923675775528,,0.7001921534538269,,0.5755628943443298,,,
22,298,,,,,,,0.17120742797851562,3.5994997024536133,3.4282925128936768
22,298,0.15103048086166382,,1.135870099067688,,0.984839677810669,,,,
23,299,,0.17071641981601715,,0.8051540851593018,,0.6344376802444458,,,
23,309,,0.24878370761871338,,6.122188091278076,,5.873404502868652,,,
23,311,,,,,,,0.182205468416214,3.4230892658233643,3.2408833503723145
23,311,0.16526886820793152,,1.6421743631362915,,1.4769052267074585,,,,
24,319,,0.13228726387023926,,2.0965075492858887,,1.9642202854156494,,,
24,324,,,,,,,0.17605432868003845,3.549523115158081,3.373469114303589
24,324,0.15498271584510803,,1.6936208009719849,,1.5386378765106201,,,,
25,329,,0.24018734693527222,,4.284145832061768,,4.04395866394043,,,
25,337,,,,,,,0.19955876469612122,4.252076625823975,4.052518367767334
25,337,0.2001393884420395,,2.267688512802124,,2.067549228668213,,,,
26,339,,0.24110627174377441,,3.3315389156341553,,3.090432643890381,,,
