train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_c_logit_mean,train_c_logit_std,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
2.5895302295684814,2.273977279663086,0.3155529797077179,10,139,,,,,,,,
,,,10,142,11.55587100982666,11.333149909973145,0.22272172570228577,-2.6954457759857178,2.147618055343628,,,
,,,10,142,,,,,,4.736730098724365,4.352802276611328,0.38392749428749084
5.849528789520264,5.665359020233154,0.18416981399059296,11,149,,,,,,,,
,,,11,155,10.128527641296387,9.818349838256836,0.3101772367954254,-2.0821893215179443,2.2358808517456055,,,
,,,11,155,,,,,,6.055559158325195,5.8298869132995605,0.22567138075828552
1.9577322006225586,1.7355551719665527,0.22217705845832825,12,159,,,,,,,,
,,,12,168,8.964204788208008,8.724756240844727,0.23944811522960663,-2.840167999267578,2.60856032371521,,,
,,,12,168,,,,,,5.506325721740723,5.2439775466918945,0.2623479664325714
4.844603061676025,4.654914855957031,0.18968813121318817,13,169,,,,,,,,
9.176667213439941,8.995094299316406,0.18157269060611725,13,179,,,,,,,,
,,,13,181,9.79831600189209,9.600455284118652,0.19786082208156586,-4.271329402923584,3.5756092071533203,,,
,,,13,181,,,,,,4.9874491691589355,4.7398362159729,0.24761272966861725
3.7892539501190186,3.632305383682251,0.156948521733284,14,189,,,,,,,,
,,,14,194,23.786701202392578,23.54634666442871,0.24035146832466125,-4.058047771453857,3.9894721508026123,,,
,,,14,194,,,,,,4.5953049659729,4.392701625823975,0.20260381698608398
1.7606980800628662,1.5428818464279175,0.21781626343727112,15,199,,,,,,,,
,,,15,207,9.405949592590332,8.975944519042969,0.4300065040588379,-0.9034615159034729,0.9787414073944092,,,
,,,15,207,,,,,,9.241510391235352,8.963202476501465,0.2783077359199524
4.908904552459717,4.5425286293029785,0.3663758337497711,16,209,,,,,,,,
8.585993766784668,8.294001579284668,0.2919926345348358,16,219,,,,,,,,
,,,16,220,7.463563442230225,7.116065979003906,0.3474977910518646,-1.2164007425308228,0.9794868230819702,,,
,,,16,220,,,,,,6.46950626373291,6.103031635284424,0.36647462844848633
2.745588779449463,2.554034948348999,0.1915537565946579,17,229,,,,,,,,
,,,17,233,10.436845779418945,10.166683197021484,0.2701622247695923,-2.190078020095825,1.7329481840133667,,,
,,,17,233,,,,,,5.509074687957764,5.217618942260742,0.2914547920227051
2.692824363708496,2.5377917289733887,0.15503260493278503,18,239,,,,,,,,
,,,18,246,9.192056655883789,8.909079551696777,0.28297677636146545,-1.7807068824768066,1.4972279071807861,,,
,,,18,246,,,,,,5.002591609954834,4.755045413970947,0.24754609167575836
6.100693702697754,5.885609149932861,0.21508453786373138,19,249,,,,,,,,
0.2668599784374237,0.0,0.2668599784374237,19,259,,,,,,,,
,,,19,259,14.873674392700195,14.645652770996094,0.22802169620990753,-2.644637107849121,2.158435821533203,,,
,,,19,259,,,,,,4.432882308959961,4.1974897384643555,0.23539243638515472
1.38331937789917,1.2302076816558838,0.15311163663864136,20,269,,,,,,,,
,,,20,272,9.796134948730469,9.58257007598877,0.21356447041034698,-3.011988401412964,2.365176200866699,,,
,,,20,272,,,,,,5.529150485992432,5.333194732666016,0.19595731794834137
3.1893410682678223,2.848869562149048,0.3404715955257416,21,279,,,,,,,,
,,,21,285,9.714201927185059,9.452299118041992,0.26190322637557983,-2.6687588691711426,2.6104114055633545,,,
,,,21,285,,,,,,3.406399726867676,3.198857545852661,0.20754249393939972
3.807253360748291,3.576981782913208,0.2302716225385666,22,289,,,,,,,,
