epoch,step,train_c_logit_mean,train_c_logit_std,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
6,90,-1.5024938583374023,1.0574054718017578,,,,,,,0.3241637051105499,10.355401039123535,10.03123664855957
6,90,,,0.39308711886405945,,8.523255348205566,,8.130167007446289,,,,
7,99,,,,0.4706866145133972,,12.177294731140137,,11.706607818603516,,,
7,103,-0.1932365596294403,0.6517125964164734,,,,,,,0.646580159664154,8.726143836975098,8.07956314086914
7,103,,,0.4316670000553131,,7.691079616546631,,7.259413242340088,,,,
8,109,,,,0.547810435295105,,2.727907657623291,,2.1800971031188965,,,
8,116,-1.9278956651687622,1.3967479467391968,,,,,,,0.29578396677970886,17.45344352722168,17.15765953063965
8,116,,,0.5430935621261597,,5.826162338256836,,5.283068656921387,,,,
9,119,,,,0.24982847273349762,,13.453683853149414,,13.203855514526367,,,
9,129,,,,0.32472556829452515,,13.489908218383789,,13.165183067321777,,,
9,129,-1.4128048419952393,1.396914005279541,,,,,,,0.3925754129886627,13.425130844116211,13.03255558013916
9,129,,,0.3422988951206207,,6.945133209228516,,6.6028337478637695,,,,
10,139,,,,0.27044349908828735,,3.8483095169067383,,3.5778660774230957,,,
10,142,-2.194124460220337,1.795212984085083,,,,,,,0.2988423705101013,11.004813194274902,10.705970764160156
10,142,,,0.3218728303909302,,4.3029327392578125,,3.981060028076172,,,,
11,149,,,,0.22831258177757263,,9.104938507080078,,8.876626014709473,,,
11,155,-3.4384610652923584,2.449537515640259,,,,,,,0.2296588122844696,10.456340789794922,10.226682662963867
11,155,,,0.26288902759552,,5.6847100257873535,,5.421821594238281,,,,
12,159,,,,0.15346048772335052,,2.9027152061462402,,2.7492547035217285,,,
12,168,-3.0235230922698975,2.3337619304656982,,,,,,,0.22833788394927979,12.389381408691406,12.161043167114258
12,168,,,0.23403297364711761,,4.236174583435059,,4.002141952514648,,,,
13,169,,,,0.1983623504638672,,0.46248215436935425,,0.26411980390548706,,,
13,179,,,,0.1861432045698166,,4.195556163787842,,4.00941276550293,,,
13,181,-3.077451705932617,2.630837917327881,,,,,,,0.24440746009349823,15.444287300109863,15.199881553649902
13,181,,,0.21798525750637054,,3.9664151668548584,,3.748429775238037,,,,
14,189,,,,0.16383332014083862,,2.810225248336792,,2.6463918685913086,,,
14,194,-5.532341003417969,4.018603324890137,,,,,,,0.24740074574947357,15.450104713439941,15.202702522277832
14,194,,,0.20970270037651062,,4.482566833496094,,4.27286434173584,,,,
15,199,,,,0.32766932249069214,,2.4939377307891846,,2.1662683486938477,,,
15,207,-2.9675183296203613,3.1999359130859375,,,,,,,0.4188174307346344,12.502887725830078,12.08406925201416
15,207,,,0.272993266582489,,4.701531887054443,,4.4285383224487305,,,,
16,209,,,,0.41126516461372375,,4.712510585784912,,4.301245212554932,,,
16,219,,,,0.4005741775035858,,4.564949035644531,,4.164374828338623,,,
16,220,-2.8932900428771973,2.764312505722046,,,,,,,0.33478251099586487,10.430744171142578,10.09596061706543
16,220,,,0.4304651618003845,,5.298880577087402,,4.868414878845215,,,,
17,229,,,,0.2913453280925751,,2.2812671661376953,,1.9899218082427979,,,
17,233,-2.7916693687438965,2.6403238773345947,,,,,,,0.2696908116340637,15.183320999145508,14.913630485534668
17,233,,,0.370382159948349,,4.448588848114014,,4.078207969665527,,,,
18,239,,,,0.21893379092216492,,1.9475549459457397,,1.7286211252212524,,,
18,246,-2.8221352100372314,2.7802207469940186,,,,,,,0.26851364970207214,42.70683670043945,42.438323974609375
18,246,,,0.25344374775886536,,4.050421237945557,,3.7969765663146973,,,,
19,249,,,,0.17187635600566864,,6.489423751831055,,6.31754732131958,,,
19,259,,,,1.6332132816314697,,18.91227912902832,,17.27906608581543,,,
19,259,0.06168612837791443,4.3560333251953125,,,,,,,1.8267877101898193,22.22957420349121,20.40278434753418
19,259,,,0.42000913619995117,,20.905887603759766,,20.485877990722656,,,,
20,269,,,,0.5809218883514404,,2.526761531829834,,1.9458396434783936,,,
20,272,-1.8054213523864746,2.845238447189331,,,,,,,0.4544241726398468,18.82901954650879,18.374595642089844
20,272,,,1.2008063793182373,,7.570639133453369,,6.3698320388793945,,,,
21,279,,,,0.8294070959091187,,8.715277671813965,,7.885870456695557,,,
21,285,-2.0507965087890625,3.9544596672058105,,,,,,,0.6076421737670898,15.951268196105957,15.34362506866455
21,285,,,0.6516324281692505,,8.343435287475586,,7.691803455352783,,,,
22,289,,,,1.8113867044448853,,10.989872932434082,,9.178485870361328,,,
